"Protein.identifier"	"Contig.id"	"Start"	"Stop"	"Strand"	"Gene.symbol"	"Sequence.name"	"Scope"	"Element.type"	"Element.subtype"	"Class"	"Subclass"	"Method"	"Target.length"	"Reference.sequence.length"	"X..Coverage.of.reference.sequence"	"X..Identity.to.reference.sequence"	"Alignment.length"	"Accession.of.closest.sequence"	"Name.of.closest.sequence"	"HMM.id"	"HMM.description"	"ID"
"11"	"BLCJFBCD_02281"	6	108848	109312	"+"	"golS"	"Au(I) sensor transcriptional regulator GolS"	"plus"	"STRESS"	"METAL"	"GOLD"	"GOLD"	"BLASTP"	154	154	100	99.35	154	"AAL19308.1"	"Au(I) sensor transcriptional regulator GolS"	NA	NA	"ARS1"
"12"	"BLCJFBCD_02728"	7	235208	237514	"-"	"sspH2"	"SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	768	788	100	96.57	788	"QJV46475.1"	"SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2"	NA	NA	"ARS1"
"13"	"BLCJFBCD_04383"	19	60216	60866	"-"	"spvD"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	216	216	100	100	216	"AAG59626.1"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	NA	NA	"ARS1"
"14"	"BLCJFBCD_04447"	21	11872	12405	"+"	"sodC1"	"superoxide dismutase [Cu-Zn] SodC1"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	177	177	100	100	177	"AAL19978.1"	"superoxide dismutase [Cu-Zn] SodC1"	NA	NA	"ARS1"
"15"	NA	21	27822	28505	"+"	"gtgA"	"type III secretion system effector protease GtgA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTX"	228	228	100	99.56	228	"CBW17061.1"	"type III secretion system effector protease GtgA"	NA	NA	"ARS1"
"16"	"OCEPPGGC_00266"	1	279044	281101	"+"	"invA"	"type III secretion system export apparatus protein InvA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	685	685	100	99.85	685	"WXW86397.1"	"type III secretion system export apparatus protein InvA"	NA	NA	"ARS10"
"17"	"OCEPPGGC_00297"	1	308736	309572	"+"	"avrA"	"type III secretion system YopJ family effector AvrA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	278	302	91.72	99.28	277	"AAL21745.1"	"type III secretion system YopJ family effector AvrA"	NA	NA	"ARS10"
"18"	"OCEPPGGC_00391"	1	397860	401516	"-"	"iroC"	"salmochelin/enterobactin export ABC transporter IroC"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	1218	1219	98.85	79.85	1211	"AUH19662.1"	"salmochelin/enterobactin export ABC transporter IroC"	NA	NA	"ARS10"
"19"	"OCEPPGGC_00392"	1	401597	402712	"-"	"iroB"	"salmochelin biosynthesis C-glycosyltransferase IroB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	371	371	100	86.52	371	"EOW04219.1"	"salmochelin biosynthesis C-glycosyltransferase IroB"	NA	NA	"ARS10"
"20"	"OCEPPGGC_00643"	2	178179	178877	"+"	"lpfB"	"long polar fimbrial chaperone LpfB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	232	232	100	100	232	"WXV87835.1"	"long polar fimbrial chaperone LpfB"	NA	NA	"ARS10"
"21"	"OCEPPGGC_00924"	3	97008	99200	"+"	"sinH"	"intimin-like inverse autotransporter SinH"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	730	730	100	99.86	730	"AAL21411.1"	"intimin-like inverse autotransporter SinH"	"NF033423.1"	"intimin-like inverse autotransporter SinH"	"ARS10"
"22"	"OCEPPGGC_01926"	5	348970	349218	"-"	"asr"	"acid resistance repetitive basic protein Asr"	"plus"	"STRESS"	"ACID"	NA	NA	"HMM"	82	102	100	58.49	106	"BAA15331.2"	"acid resistance repetitive basic protein Asr"	"NF033636.1"	"acid resistance repetitive basic protein Asr"	"ARS10"
"23"	"OCEPPGGC_02038"	6	101889	105056	"-"	"mdsB"	"multidrug efflux RND transporter permease subunit MdsB"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	1055	1055	100	99.43	1055	"AAL19305.1"	"multidrug efflux RND transporter permease subunit MdsB"	NA	NA	"ARS10"
"24"	"OCEPPGGC_02039"	6	105053	106279	"-"	"mdsA"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	408	408	100	98.77	408	"AAL19306.1"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	NA	NA	"ARS10"
"25"	"OCEPPGGC_02040"	6	106556	108859	"+"	"golT"	"gold/copper-translocating P-type ATPase GolT"	"plus"	"STRESS"	"METAL"	"COPPER/GOLD"	"COPPER/GOLD"	"BLASTP"	767	762	100	99.48	762	"AAL19307.1"	"gold/copper-translocating P-type ATPase GolT"	NA	NA	"ARS10"
"26"	"OCEPPGGC_02041"	6	108856	109320	"+"	"golS"	"Au(I) sensor transcriptional regulator GolS"	"plus"	"STRESS"	"METAL"	"GOLD"	"GOLD"	"BLASTP"	154	154	100	99.35	154	"AAL19308.1"	"Au(I) sensor transcriptional regulator GolS"	NA	NA	"ARS10"
"27"	"OCEPPGGC_04252"	20	18625	19275	"-"	"spvD"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	216	216	100	100	216	"AAG59626.1"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	NA	NA	"ARS10"
"28"	"OCEPPGGC_04508"	26	12787	13602	"+"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTP"	271	271	100	100	271	"WP_001043260.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"NF000295.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"ARS10"
"29"	"OCEPPGGC_04509"	26	13663	14466	"+"	"aph(3'')-Ib"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTP"	267	267	100	100	267	"WP_001082319.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"NF032895.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"ARS10"
"30"	"OCEPPGGC_04510"	26	14466	15302	"+"	"aph(6)-Id"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTP"	278	278	100	100	278	"WP_000480968.1"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"NF012171.0"	"APH(6)-I family aminoglycoside O-phosphotransferase"	"ARS10"
"31"	"OCEPPGGC_04513"	26	16638	17837	"+"	"tet(A)"	"tetracycline efflux MFS transporter Tet(A)"	"core"	"AMR"	"AMR"	"TETRACYCLINE"	"TETRACYCLINE"	"EXACTP"	399	399	100	100	399	"WP_000804063.1"	"tetracycline efflux MFS transporter Tet(A)"	"NF012193.0"	"tetracycline efflux MFS transporter Tet(A)"	"ARS10"
"32"	"OCEPPGGC_04531"	29	2031	2267	"-"	"merE"	"broad-spectrum mercury transporter MerE"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"HMM"	78	78	100	78.21	78	"AAA88371.1"	"broad-spectrum mercury transporter MerE"	"NF010310.2"	"broad-spectrum mercury transporter MerE"	"ARS10"
"33"	"OCEPPGGC_04532"	29	2264	2626	"-"	"merD"	"mercury resistance co-regulator MerD"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"HMM"	120	121	100	82.64	121	"AAC38221.1"	"mercury resistance co-regulator MerD"	"NF033783.1"	"mercury resistance co-regulator MerD"	"ARS10"
"34"	"OCEPPGGC_04534"	29	3302	4078	"-"	"blaTEM"	"TEM family class A beta-lactamase"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"BETA-LACTAM"	"BLASTP"	258	286	90.21	99.61	258	"WP_000027057.1"	"broad-spectrum class A beta-lactamase TEM-1"	"NF033103.1"	"class A beta-lactamase"	"ARS10"
"35"	"IHBKHMHD_00007"	1	4391	5398	"-"	"sseK3"	"type III secretion system effector arginine glycosyltransferase SseK3"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	335	335	100	100	335	"CBW18025.1"	"type III secretion system effector arginine glycosyltransferase SseK3"	NA	NA	"ARS11"
"36"	"IHBKHMHD_00370"	1	356892	357140	"-"	"asr"	"acid resistance repetitive basic protein Asr"	"plus"	"STRESS"	"ACID"	NA	NA	"HMM"	82	102	100	58.49	106	"BAA15331.2"	"acid resistance repetitive basic protein Asr"	"NF033636.1"	"acid resistance repetitive basic protein Asr"	"ARS11"
"37"	"IHBKHMHD_00832"	2	80300	81415	"+"	"iroB"	"salmochelin biosynthesis C-glycosyltransferase IroB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	371	371	100	86.52	371	"EOW04219.1"	"salmochelin biosynthesis C-glycosyltransferase IroB"	NA	NA	"ARS11"
"38"	"IHBKHMHD_00833"	2	81496	85152	"+"	"iroC"	"salmochelin/enterobactin export ABC transporter IroC"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	1218	1219	98.85	79.85	1211	"AUH19662.1"	"salmochelin/enterobactin export ABC transporter IroC"	NA	NA	"ARS11"
"39"	"IHBKHMHD_00928"	2	173579	174415	"-"	"avrA"	"type III secretion system YopJ family effector AvrA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	278	302	91.72	99.28	277	"AAL21745.1"	"type III secretion system YopJ family effector AvrA"	NA	NA	"ARS11"
"40"	"IHBKHMHD_00959"	2	202050	204107	"-"	"invA"	"type III secretion system export apparatus protein InvA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	685	685	100	99.85	685	"WXW86397.1"	"type III secretion system export apparatus protein InvA"	NA	NA	"ARS11"
"41"	"IHBKHMHD_02544"	5	226663	227361	"-"	"lpfB"	"long polar fimbrial chaperone LpfB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	232	232	100	100	232	"WXV87835.1"	"long polar fimbrial chaperone LpfB"	NA	NA	"ARS11"
"42"	"IHBKHMHD_02941"	6	222625	223089	"-"	"golS"	"Au(I) sensor transcriptional regulator GolS"	"plus"	"STRESS"	"METAL"	"GOLD"	"GOLD"	"BLASTP"	154	154	100	99.35	154	"AAL19308.1"	"Au(I) sensor transcriptional regulator GolS"	NA	NA	"ARS11"
"43"	"IHBKHMHD_02942"	6	223086	225389	"-"	"golT"	"gold/copper-translocating P-type ATPase GolT"	"plus"	"STRESS"	"METAL"	"COPPER/GOLD"	"COPPER/GOLD"	"BLASTP"	767	762	100	99.48	762	"AAL19307.1"	"gold/copper-translocating P-type ATPase GolT"	NA	NA	"ARS11"
"44"	"IHBKHMHD_02943"	6	225666	226892	"+"	"mdsA"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	408	408	100	98.77	408	"AAL19306.1"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	NA	NA	"ARS11"
"45"	"IHBKHMHD_02944"	6	226889	230056	"+"	"mdsB"	"multidrug efflux RND transporter permease subunit MdsB"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	1055	1055	100	99.43	1055	"AAL19305.1"	"multidrug efflux RND transporter permease subunit MdsB"	NA	NA	"ARS11"
"46"	"IHBKHMHD_03178"	7	151397	153589	"-"	"sinH"	"intimin-like inverse autotransporter SinH"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	730	730	100	99.86	730	"AAL21411.1"	"intimin-like inverse autotransporter SinH"	"NF033423.1"	"intimin-like inverse autotransporter SinH"	"ARS11"
"47"	"IHBKHMHD_03271"	8	4122	6428	"+"	"sspH2"	"SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	768	788	100	96.57	788	"QJV46475.1"	"SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2"	NA	NA	"ARS11"
"48"	"IHBKHMHD_03885"	11	569	1714	"-"	"blaCMY-2"	"extended-spectrum class C beta-lactamase CMY-2"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEP"	381	381	100	100	381	"WP_000976514.1"	"extended-spectrum class C beta-lactamase CMY-2"	"NF000191.1"	"CMY-2 family class C beta-lactamase"	"ARS11"
"49"	"IHBKHMHD_04402"	15	63618	64268	"-"	"spvD"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	216	216	100	100	216	"AAG59626.1"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	NA	NA	"ARS11"
"50"	NA	17	14253	14936	"-"	"gtgA"	"type III secretion system effector protease GtgA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTX"	228	228	100	99.56	228	"CBW17061.1"	"type III secretion system effector protease GtgA"	NA	NA	"ARS11"
"51"	"IHBKHMHD_04497"	17	30353	30886	"-"	"sodC1"	"superoxide dismutase [Cu-Zn] SodC1"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	177	177	100	100	177	"AAL19978.1"	"superoxide dismutase [Cu-Zn] SodC1"	NA	NA	"ARS11"
"52"	"PHPKBCGC_00384"	1	393193	393441	"+"	"asr"	"acid resistance repetitive basic protein Asr"	"plus"	"STRESS"	"ACID"	NA	NA	"HMM"	82	102	100	58.49	106	"BAA15331.2"	"acid resistance repetitive basic protein Asr"	"NF033636.1"	"acid resistance repetitive basic protein Asr"	"ARS12"
"53"	"PHPKBCGC_01028"	2	450773	451237	"-"	"golS"	"Au(I) sensor transcriptional regulator GolS"	"plus"	"STRESS"	"METAL"	"GOLD"	"GOLD"	"BLASTP"	154	154	100	99.35	154	"AAL19308.1"	"Au(I) sensor transcriptional regulator GolS"	NA	NA	"ARS12"
"54"	"PHPKBCGC_01029"	2	451234	453537	"-"	"golT"	"gold/copper-translocating P-type ATPase GolT"	"plus"	"STRESS"	"METAL"	"COPPER/GOLD"	"COPPER/GOLD"	"BLASTP"	767	762	100	99.48	762	"AAL19307.1"	"gold/copper-translocating P-type ATPase GolT"	NA	NA	"ARS12"
"55"	"PHPKBCGC_01030"	2	453814	455040	"+"	"mdsA"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	408	408	100	98.77	408	"AAL19306.1"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	NA	NA	"ARS12"
"56"	"PHPKBCGC_01031"	2	455037	458204	"+"	"mdsB"	"multidrug efflux RND transporter permease subunit MdsB"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	1055	1055	100	99.43	1055	"AAL19305.1"	"multidrug efflux RND transporter permease subunit MdsB"	NA	NA	"ARS12"
"57"	"PHPKBCGC_01560"	3	474655	476712	"+"	"invA"	"type III secretion system export apparatus protein InvA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	685	685	100	99.85	685	"WXW86397.1"	"type III secretion system export apparatus protein InvA"	NA	NA	"ARS12"
"58"	"PHPKBCGC_02177"	5	178179	178877	"+"	"lpfB"	"long polar fimbrial chaperone LpfB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	232	232	100	100	232	"WXV87835.1"	"long polar fimbrial chaperone LpfB"	NA	NA	"ARS12"
"59"	"PHPKBCGC_02459"	6	96931	99123	"+"	"sinH"	"intimin-like inverse autotransporter SinH"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	730	730	100	99.86	730	"AAL21411.1"	"intimin-like inverse autotransporter SinH"	"NF033423.1"	"intimin-like inverse autotransporter SinH"	"ARS12"
"60"	"PHPKBCGC_02712"	6	378861	381497	"+"	"gyrA_D87G"	"Salmonella quinolone/triclosan resistant GyrA"	"core"	"AMR"	"POINT"	"QUINOLONE/TRICLOSAN"	"QUINOLONE/TRICLOSAN"	"POINTP"	878	878	100	99.77	878	"WP_001281271.1"	"DNA gyrase subunit A GyrA"	NA	NA	"ARS12"
"61"	"PHPKBCGC_03885"	13	48654	52310	"-"	"iroC"	"salmochelin/enterobactin export ABC transporter IroC"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	1218	1219	98.85	79.85	1211	"AUH19662.1"	"salmochelin/enterobactin export ABC transporter IroC"	NA	NA	"ARS12"
"62"	"PHPKBCGC_03886"	13	52391	53506	"-"	"iroB"	"salmochelin biosynthesis C-glycosyltransferase IroB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	371	371	100	86.52	371	"EOW04219.1"	"salmochelin biosynthesis C-glycosyltransferase IroB"	NA	NA	"ARS12"
"63"	"PHPKBCGC_04149"	15	76008	77015	"-"	"sseK3"	"type III secretion system effector arginine glycosyltransferase SseK3"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	335	335	100	100	335	"CBW18025.1"	"type III secretion system effector arginine glycosyltransferase SseK3"	NA	NA	"ARS12"
"64"	"PHPKBCGC_04248"	17	18625	19275	"-"	"spvD"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	216	216	100	100	216	"AAG59626.1"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	NA	NA	"ARS12"
"65"	NA	20	14253	14936	"-"	"gtgA"	"type III secretion system effector protease GtgA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTX"	228	228	100	99.56	228	"CBW17061.1"	"type III secretion system effector protease GtgA"	NA	NA	"ARS12"
"66"	"PHPKBCGC_04458"	20	30353	30886	"-"	"sodC1"	"superoxide dismutase [Cu-Zn] SodC1"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	177	177	100	100	177	"AAL19978.1"	"superoxide dismutase [Cu-Zn] SodC1"	NA	NA	"ARS12"
"67"	"PHPKBCGC_04576"	23	29699	30133	"-"	"merR"	"mercury resistance transcriptional regulator MerR"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"EXACTP"	144	144	100	100	144	"AAA98221.1"	"mercury resistance transcriptional regulator MerR"	"NF010315.0"	"mercury resistance transcriptional regulator MerR"	"ARS12"
"68"	"PHPKBCGC_04577"	23	30205	30555	"+"	"merT"	"mercuric transport protein MerT"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"EXACTP"	116	116	100	100	116	"AAA98222.1"	"mercuric transport protein MerT"	NA	NA	"ARS12"
"69"	"PHPKBCGC_04578"	23	30571	30846	"+"	"merP"	"mercury resistance system periplasmic binding protein MerP"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"EXACTP"	91	91	100	100	91	"AAA98223.1"	"mercury resistance system periplasmic binding protein MerP"	"TIGR02052.1"	"mercury resistance system periplasmic binding protein MerP"	"ARS12"
"70"	"PHPKBCGC_04579"	23	30918	32603	"+"	"merA"	"mercury(II) reductase"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"BLASTP"	561	561	100	92.69	561	"ACU65296.1"	"mercury(II) reductase"	"TIGR02053.1"	"mercury(II) reductase"	"ARS12"
"71"	"PHPKBCGC_04688"	27	219	1418	"-"	"tet(A)"	"tetracycline efflux MFS transporter Tet(A)"	"core"	"AMR"	"AMR"	"TETRACYCLINE"	"TETRACYCLINE"	"EXACTP"	399	399	100	100	399	"WP_000804063.1"	"tetracycline efflux MFS transporter Tet(A)"	"NF012193.0"	"tetracycline efflux MFS transporter Tet(A)"	"ARS12"
"72"	"PHPKBCGC_04691"	27	2754	3590	"-"	"aph(6)-Id"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTP"	278	278	100	100	278	"WP_000480968.1"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"NF012171.0"	"APH(6)-I family aminoglycoside O-phosphotransferase"	"ARS12"
"73"	"PHPKBCGC_04692"	27	3590	4393	"-"	"aph(3'')-Ib"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTP"	267	267	100	100	267	"WP_001082319.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"NF032895.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"ARS12"
"74"	"PHPKBCGC_04693"	27	4454	5269	"-"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTP"	271	271	100	100	271	"WP_001043260.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"NF000295.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"ARS12"
"75"	"LOENHCNA_00821"	2	81512	85168	"+"	"iroC"	"salmochelin/enterobactin export ABC transporter IroC"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	1218	1219	98.85	79.85	1211	"AUH19662.1"	"salmochelin/enterobactin export ABC transporter IroC"	NA	NA	"ARS13"
"76"	"LOENHCNA_00916"	2	173595	174431	"-"	"avrA"	"type III secretion system YopJ family effector AvrA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	278	302	91.72	99.28	277	"AAL21745.1"	"type III secretion system YopJ family effector AvrA"	NA	NA	"ARS13"
"77"	"LOENHCNA_00947"	2	202066	204123	"-"	"invA"	"type III secretion system export apparatus protein InvA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	685	685	100	99.85	685	"WXW86397.1"	"type III secretion system export apparatus protein InvA"	NA	NA	"ARS13"
"78"	"LOENHCNA_01602"	3	226663	227361	"-"	"lpfB"	"long polar fimbrial chaperone LpfB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	232	232	100	100	232	"WXV87835.1"	"long polar fimbrial chaperone LpfB"	NA	NA	"ARS13"
"79"	"LOENHCNA_02046"	4	302386	304578	"-"	"sinH"	"intimin-like inverse autotransporter SinH"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	730	730	100	99.86	730	"AAL21411.1"	"intimin-like inverse autotransporter SinH"	"NF033423.1"	"intimin-like inverse autotransporter SinH"	"ARS13"
"80"	"LOENHCNA_02234"	5	101886	105053	"-"	"mdsB"	"multidrug efflux RND transporter permease subunit MdsB"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	1055	1055	100	99.43	1055	"AAL19305.1"	"multidrug efflux RND transporter permease subunit MdsB"	NA	NA	"ARS13"
"81"	"LOENHCNA_02235"	5	105050	106276	"-"	"mdsA"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	408	408	100	98.77	408	"AAL19306.1"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	NA	NA	"ARS13"
"82"	"LOENHCNA_02236"	5	106553	108856	"+"	"golT"	"gold/copper-translocating P-type ATPase GolT"	"plus"	"STRESS"	"METAL"	"COPPER/GOLD"	"COPPER/GOLD"	"BLASTP"	767	762	100	99.48	762	"AAL19307.1"	"gold/copper-translocating P-type ATPase GolT"	NA	NA	"ARS13"
